Date,Open,High,Low,Close,Volume,Sentiment,Change,Prediction
2019-09-03,179.1156157705417,179.83993236235096,177.706664737947,177.80587768554688,4644000,0.0,0.0,180.35589599609375
2019-09-04,179.49265400238198,180.78254347636798,178.6492757948349,180.35589599609375,4154800,0.0,2.550018310546875,183.29286193847656
2019-09-05,182.3006415834844,184.23546824770287,181.9533735432858,183.29286193847656,6386800,0.0,2.9369659423828125,184.29501342773438
2019-09-06,183.30279307682824,185.25746837931982,183.1142687877431,184.29501342773438,7990900,0.0,1.0021514892578125,180.1376190185547
2019-09-09,185.46583779184573,185.5948312903694,178.11348089747204,180.1376190185547,7290500,0.0,-4.1573944091796875,174.9780731201172
2019-09-10,178.01426511344607,178.30200236702748,172.4578248325261,174.9780731201172,15255200,0.0,-5.1595458984375,173.61871337890625
2019-09-11,176.01988481981667,176.54576039645798,173.0928378022649,173.61871337890625,9113600,0.0,-1.3593597412109375,176.59536743164062
2019-09-12,175.4741687708999,178.01425035499005,175.30547799407222,176.59536743164062,7748800,0.0,2.976654052734375,175.8909149169922
2019-09-13,177.2601687766151,177.37924552012106,174.6506394143848,175.8909149169922,6103200,0.0,-0.7044525146484375,174.73992919921875
2019-09-16,174.79945999874442,175.82144576415155,174.14459092379968,174.73992919921875,4253600,0.0,-1.1509857177734375,175.07728576660156
2019-09-17,175.4543343617363,176.87320226013213,173.67825137525787,175.07728576660156,5924700,0.0,0.3373565673828125,173.92630004882812
2019-09-18,175.71229972285286,175.80159592153382,171.48544644439522,173.92630004882812,9542500,0.0,-1.1509857177734375,174.59109497070312
2019-09-19,174.82921815894522,176.0298114132948,174.24381180107588,174.59109497070312,6964500,0.0,0.664794921875,172.70587158203125
2019-09-20,176.01988391517526,176.24810549637957,172.59672673800168,172.70587158203125,12820400,0.0,-1.885223388671875,173.5492706298828
2019-09-23,171.55489797263309,173.88662192610562,171.44575312502198,173.5492706298828,8803500,0.0,0.8433990478515625,173.1226043701172
2019-09-24,174.73992840357926,175.8214449635876,172.05100456329092,173.1226043701172,10039900,0.0,-0.426666259765625,173.9163818359375
2019-09-25,172.44789995632306,174.30334716705485,171.04886562840605,173.9163818359375,7797300,0.0,0.7937774658203125,174.2834930419922
2019-09-26,174.2834930419922,175.0772723255074,173.25159057147877,174.2834930419922,10419000,0.0,0.3671112060546875,172.6463623046875
2019-09-27,175.32535455381262,175.45434806013114,171.01912133454547,172.6463623046875,9212600,0.0,-1.6371307373046875,170.6718292236328
2019-09-30,172.815028967339,174.08506989544293,170.6718292236328,170.6718292236328,16464000,0.0,-1.9745330810546875,172.93408203125
2019-10-01,171.6739730592532,173.4599727574582,171.47553201280405,172.93408203125,8146200,0.0,2.2622528076171875,168.5087890625
2019-10-02,171.29692590971183,171.59459505192294,167.2784303400654,168.5087890625,10596200,0.0,-4.42529296875,171.52511596679688
2019-10-03,168.58815239918167,171.7930196831937,167.31811164452424,171.52511596679688,7242800,0.0,3.016326904296875,174.61093139648438
2019-10-04,173.32104192497226,175.14673885915107,173.08291873274783,174.61093139648438,6027600,0.0,3.0858154296875,173.53933715820312
2019-10-07,173.30121395836738,174.3231997312127,172.4479038320995,173.53933715820312,5248300,0.0,-1.07159423828125,171.07864379882812
2019-10-08,172.21970637120816,173.28137435272532,170.54285143116115,171.07864379882812,5336500,0.0,-2.460693359375,173.51951599121094
2019-10-09,172.75550201054963,174.62088128901738,172.28915719093268,173.51951599121094,6277300,0.0,2.4408721923828125,173.51951599121094
2019-10-10,172.53721230178925,174.53156994264634,172.23954314074487,173.51951599121094,4762400,0.0,0.0,175.68252563476562
2019-10-11,175.49400135348648,177.80587649218262,175.4741678481479,175.68252563476562,8754400,0.0,2.1630096435546875,175.98020935058594
