Date,Open,High,Low,Close,Volume,Sentiment,Change,Prediction
2019-12-04,27634.630859375,27727.44921875,27612.080078125,27649.779296875,218200000,0.0,146.96875,27677.7890625
2019-12-05,27736.05078125,27745.19921875,27562.80078125,27677.7890625,208600000,0.0,28.009765625,28015.060546875
2019-12-06,27839.6796875,28035.849609375,27839.6796875,28015.060546875,223310000,0.0,337.271484375,27909.599609375
2019-12-09,27987.05078125,28010.419921875,27906.140625,27909.599609375,217000000,0.0,-105.4609375,27881.720703125
2019-12-10,27900.650390625,27949.01953125,27804.0,27881.720703125,213250000,0.0,-27.87890625,27911.30078125
2019-12-11,27867.310546875,27925.5,27801.80078125,27911.30078125,213510000,0.0,29.580078125,28132.05078125
2019-12-12,27898.33984375,28224.94921875,27859.869140625,28132.05078125,277740000,0.0,220.75,28135.380859375
2019-12-13,28123.640625,28290.73046875,28028.3203125,28135.380859375,250660000,0.0,3.330078125,28235.890625
2019-12-16,28191.669921875,28337.490234375,28191.669921875,28235.890625,286770000,0.0,100.509765625,28267.16015625
2019-12-17,28221.75,28328.630859375,28220.560546875,28267.16015625,286770000,0.0,31.26953125,28239.279296875
2019-12-18,28291.439453125,28323.25,28239.279296875,28239.279296875,289890000,0.0,-27.880859375,28376.9609375
2019-12-19,28278.310546875,28381.48046875,28278.240234375,28376.9609375,262570000,0.0,137.681640625,28455.08984375
2019-12-20,28608.640625,28608.640625,28445.599609375,28455.08984375,603780000,0.0,78.12890625,28551.529296875
2019-12-23,28491.779296875,28582.490234375,28491.779296875,28551.529296875,223530000,0.0,96.439453125,28515.44921875
2019-12-24,28572.5703125,28576.80078125,28503.2109375,28515.44921875,86150000,0.0,-36.080078125,28621.390625
2019-12-26,28539.4609375,28624.099609375,28535.150390625,28621.390625,155970000,0.0,105.94140625,28645.259765625
2019-12-27,28675.33984375,28701.66015625,28608.98046875,28645.259765625,182280000,0.0,23.869140625,28462.140625
2019-12-30,28654.759765625,28664.689453125,28428.98046875,28462.140625,181600000,0.0,-183.119140625,28538.439453125
2019-12-31,28414.640625,28547.349609375,28376.490234375,28538.439453125,193340000,0.0,76.298828125,28868.80078125
2020-01-02,28638.970703125,28872.80078125,28627.76953125,28868.80078125,251820000,0.0,330.361328125,28634.880859375
2020-01-03,28553.330078125,28716.310546875,28500.359375,28634.880859375,239590000,0.0,-233.919921875,28703.380859375
2020-01-06,28465.5,28708.01953125,28418.630859375,28703.380859375,252760000,0.0,68.5,28583.6796875
2020-01-07,28639.1796875,28685.5,28565.279296875,28583.6796875,258900000,0.0,-119.701171875,28745.08984375
2020-01-08,28556.140625,28866.1796875,28522.509765625,28745.08984375,291750000,0.0,161.41015625,28956.900390625
2020-01-09,28851.970703125,28988.009765625,28844.310546875,28956.900390625,275060000,0.0,211.810546875,28823.76953125
2020-01-10,28977.51953125,29009.0703125,28789.099609375,28823.76953125,237830000,0.0,-133.130859375,28907.05078125
